period4	week	month	day	hour	ambient	t_w	t_e	lf_w	lf_e	pwr_w	pwr_e	hg_w	hg_e	crz_w	crz_e	crp_w	crp_e
1	1	1	1	1	7.2	22.2647063143	21.8690071634	14.2	14.2	-359.4539851877	663.3948213364	35953.7483248276	36519.1555464083	34319.0562744635	33805.8050947122	1994.1460355518	2049.9556303597
1	1	1	1	2	7.2	22.0850347657	21.9143863017	14.2	14.2	612.1143581194	552.7068902884	38545.1213576659	43183.5124794076	36354.6024431761	40547.6382442509	1578.4045563704	2083.1673448683
1	1	1	1	3	6.7	22.1447406085	21.8949398063	14.2	14.2	856.0672929366	624.2502821468	39185.9650614019	41001.5432127733	36745.3373698063	38352.1868655533	1584.560398659	2025.1060650732
1	1	1	1	4	6.1	22.1493531297	21.8465532045	14.2	14.2	1260.5435971752	620.1409073263	39112.5744518283	42542.2273899828	36373.0453453779	39741.6283817513	1478.9855092752	2180.4581009052
1	1	1	1	5	4.4	22.2210499492	21.8464779694	14.2	14.2	1423.886941835	661.494649906	39647.0244863503	42553.7817628834	36728.1761561299	39711.56385477	1494.9613883854	2180.7232582074
1	1	1	1	6	4.4	22.2374075722	21.8166767134	14.2	14.2	1482.3237856836	876.3432826746	39875.3276201038	41649.7143416513	36940.3489940481	38720.6092405152	1452.6548403722	2052.7618184615
1	1	1	1	7	6.1	22.3824537655	21.9015354657	14.2	14.2	631.1521483396	-273.9705469585	52156.7270172984	55364.902123052	48677.6540327963	51953.2828176869	2847.9208361625	3685.5898523236
1	1	1	1	8	5	22.0913949752	21.768009379	14.2	14.2	169.5497208339	-122.4475971527	45453.9311287958	48272.630834162	42596.8857296505	44982.5238852267	2687.4956783114	3412.554546088
1	1	1	1	9	7.8	22.5227536025	22.0752076342	14.2	14.2	-790.1438918294	-2267.7418352553	60522.9595424168	65658.1534416452	57268.1966097433	62723.1911016388	4044.9068245029	5202.7041752617
1	1	1	1	10	8.9	22.581679188	22.1712208192	255.6	255.6	-1842.8908025242	-2615.7703789123	53389.5121619691	55775.1583538095	51541.3931120843	53880.5305988074	3691.009852409	4510.3981339144
1	1	1	1	11	9.4	22.8193854892	22.2807188881	269.8	269.8	-1244.6793699813	-2848.0312017329	56568.4741784817	61370.0640062562	54310.5226402842	59460.1131077408	3502.6309081788	4757.9821002483
1	1	1	1	12	10	22.9958779706	22.3454247323	284	284	-1326.7000356148	-2946.5476753395	56174.6918524157	58317.6735327162	54114.4502495589	56775.6411899962	3386.9416384716	4488.5800180595
1	1	1	1	13	10.6	23.1660949006	22.376040923	269.8	269.8	-1425.8017781494	-3401.1356376501	56812.8330349042	60169.8485439846	54856.9413371541	58789.569580216	3381.6934758995	4781.4146014187
1	1	1	1	14	11.1	23.3221900564	22.4421624341	227.2	227.2	-1419.3386864724	-3511.6692006233	56578.5398995779	58637.2134800178	54727.9830753174	57501.5484730388	3269.8955107329	4647.3342076023
1	1	1	1	15	13.9	23.4637524201	22.4589067128	255.6	255.6	-1390.1902239775	-3661.5459666748	57220.5003809044	58559.2100530463	55296.769033386	57531.2804189409	3313.9215714959	4689.4756007802
1	1	1	1	16	13.9	23.3601743426	22.2798040535	284	284	-1114.6504433029	-3367.2665533809	57548.0290167291	59375.2865872418	55443.4076290857	57972.1915213197	3219.2718309463	4770.361619303
1	1	1	1	17	11.1	23.2608093566	22.1178064303	284	284	-512.288969254	-2697.7509726675	57582.055982653	59293.8362130028	54923.2265675759	57337.5960916123	3171.1183843311	4653.991094058
1	1	1	1	18	11.1	23.2884643935	22.0475547788	14.2	14.2	-204.2769941966	-2315.1507907372	58037.5352409965	58985.7742662483	55065.063460846	56766.1091351581	3176.7487743471	4534.8159218274
1	1	1	1	19	10.6	22.8150990567	22.0142256937	14.2	14.2	-1489.0244311288	-994.4706377293	48443.5507042795	48396.4667095218	46936.077051656	46086.8258833786	2996.4980837523	3304.1114638725
1	1	1	1	20	10.6	22.6046537852	22.0986543769	14.2	14.2	-582.1204321248	-1177.1338883912	49238.3593937251	54516.3091428608	47135.3226989477	52058.4376863637	2685.1571269022	3635.0053448883
1	1	1	1	21	8.9	22.658075131	22.0584493144	14.2	14.2	-141.1771306888	-983.1585972418	49694.8895208275	50901.1053796822	47166.4957532142	48529.3917511892	2669.5708983021	3354.8722257348
1	1	1	1	22	9.4	22.6984037774	22.0435336157	14.2	14.2	30.3147082418	-1221.4627283501	49882.7149951648	53435.6957562225	47254.007642589	50996.7237948104	2598.392644334	3660.4346897622
1	1	1	1	23	7.8	22.7106810675	21.9832408469	14.2	14.2	294.4716060673	-911.1189275459	50189.9024429873	51805.6759667494	47394.0985709989	49286.8877117732	2501.3322659211	3429.9071825221
1	1	1	1	24	6.7	22.7593738238	21.9584957139	14.2	14.2	449.49460544	-852.5753777854	50252.0838491895	51881.7578325301	47324.5457734515	49284.370396214	2478.043470298	3449.9628141015
1	1	1	2	1	8.9	22.326243441	21.9338657382	14.2	14.2	-522.4590353304	479.4062174172	35953.7557495797	36519.0949206925	34479.5796394857	33983.0314863053	1996.6351454244	2056.65721697
1	1	1	2	2	6.1	21.9826423495	21.8211166632	14.2	14.2	774.212776337	779.4063209005	38558.3940091812	43186.4570220206	36215.3745244	40337.2174114663	1568.8067084442	2069.8332896538
1	1	1	2	3	5.6	22.0644498037	21.8258146675	14.2	14.2	1142.8096502512	953.8235481343	39264.2378746008	41126.4627305748	36561.8604658599	38183.0219236956	1559.5677584898	1989.6172587449
1	1	1	2	4	3.9	22.085830574	21.7930132238	14.2	14.2	1493.9073938503	891.9197710504	39183.1963039775	42623.0775476259	36231.5505954738	39586.8048381916	1457.7383146534	2144.3529383839
1	1	1	2	5	5.6	22.1905188111	21.8235974481	14.2	14.2	1563.2805777067	816.5977838852	39700.0891985669	42671.7349276752	36653.0655671111	39689.650028023	1483.7430537491	2165.487115767
1	1	1	2	6	7.2	22.272925105	21.8508942874	14.2	14.2	1445.1939316526	797.5707268357	39909.7089655308	41736.769492665	37003.4716659224	38872.2892678093	1461.0433679559	2066.90949802
1	1	1	2	7	7.8	22.4678187729	21.9855105748	14.2	14.2	384.4223529802	-570.7924801679	52158.9561283068	55377.9931469765	48894.8873307968	52215.8275835462	2879.6464445298	3732.9580435982
1	1	1	2	8	7.2	22.1943999702	21.8695396914	14.2	14.2	-172.9205327483	-531.2002988633	45334.8773851258	48103.828343692	42785.1623975885	45179.0994460781	2722.6355202856	3455.9291964772
1	1	1	2	9	10.6	22.5301118259	22.0643226395	14.2	14.2	-600.7400489329	-2105.5200038369	60485.7765436551	65606.5551486863	57121.1522406434	62544.7623388229	3965.3643519446	5167.3128137003
1	1	1	2	10	11.7	22.4779326132	22.0384325522	255.6	255.6	-1365.145940586	-2118.2473083756	53513.6925789615	55905.8752641603	51272.2588957482	53592.8579729563	3606.5796237993	4431.2645995796
1	1	1	2	11	13.9	22.7866507553	22.2344168948	269.8	269.8	-971.4152907707	-2495.9721282654	56751.8892529017	61508.9568235019	54233.9792437845	59289.6152424648	3489.3252998879	4715.3137093025
1	1	1	2	12	13.9	22.972292987	22.3111435114	284	284	-1182.5691511282	-2752.3856195914	56260.699401912	58467.2971339029	54061.9854398149	56747.6403935952	3381.2831132253	4472.0423598991
