period4	week	month	day	hour	ambient	t_w	t_e	hvac_w	hvac_e
1	1	1	1	1	7.2	18.1661628811	18.2251179338	174.8327979152	197.5277382834
1	1	1	1	2	7.2	18.1320660505	18.1824344122	157.6927229251	176.8162058363
1	1	1	1	3	6.7	18.0396683182	18.0816910756	143.7376556527	161.3300177733
1	1	1	1	4	6.1	17.8870695598	17.9202710442	162.0777907391	180.2572612768
1	1	1	1	5	4.4	17.7889711843	17.8164765805	166.4130324672	184.5261211539
1	1	1	1	6	4.4	17.6627359675	17.6850942125	162.3737961209	179.3966522421
1	1	1	1	7	6.1	17.4958828226	17.5131424044	173.2355668153	190.6727234268
1	1	1	1	8	5	17.3315875592	17.3444450672	182.5102413358	200.5797981174
1	1	1	1	9	7.8	17.633050516	17.6541407031	77.1768257648	83.4760307433
1	1	1	1	10	8.9	18.0988280423	18.1385508614	3.8619637186	0.6384328928
1	1	1	1	11	9.4	18.4488164831	18.519733285	11.7584855739	4.9680409373
1	1	1	1	12	10	18.7251637356	18.8400606744	36.1179919516	27.7018942195
1	1	1	1	13	10.6	18.9531206804	19.1199950354	35.5433322507	21.8570042521
1	1	1	1	14	11.1	19.2255193414	19.442477347	4.1347911458	-19.1493960081
1	1	1	1	15	13.9	19.4188027969	19.675065413	4.3600568849	-17.8484636451
1	1	1	1	16	13.9	19.2647896939	19.5341495165	74.3085933178	57.3778227558
1	1	1	1	17	11.1	18.9649583185	19.2201864302	165.1548964639	163.5278873718
1	1	1	1	18	11.1	18.8440413788	19.0755334137	196.3044575584	224.3662953916
1	1	1	1	19	10.6	18.7501321966	18.9454830387	167.9396463742	199.3538194555
1	1	1	1	20	10.6	18.7193649578	18.882174749	136.9050225926	165.6455462991
1	1	1	1	21	8.9	18.6364310867	18.7701613022	136.8391797208	163.8483457104
1	1	1	1	22	9.4	18.5742382576	18.6847795252	143.1224970197	168.513314479
1	1	1	1	23	7.8	18.4416849521	18.5313615766	156.8001740084	181.5652696638
1	1	1	1	24	6.7	18.347010286	18.4207395525	160.739344838	183.8576900572
1	1	1	2	1	8.9	18.2841960086	18.3458888924	149.3349862105	168.9207563213
1	1	1	2	2	6.1	18.0217277706	18.0696573851	182.7449705528	205.1702782862
1	1	1	2	3	5.6	17.8608069317	17.8988859306	201.5423264043	224.5492607488
1	1	1	2	4	3.9	17.6806653457	17.7089508956	192.8238837941	215.2351240221
1	1	1	2	5	5.6	17.6155060497	17.6385880635	162.0102075814	179.8944076963
1	1	1	2	6	7.2	17.6064376619	17.6274413084	128.5911814214	141.7042218912
1	1	1	2	7	7.8	17.587905833	17.6081144349	116.9738833407	127.9091517658
1	1	1	2	8	7.2	17.5481406983	17.5679466963	122.9533233383	133.9762565399
1	1	1	2	9	10.6	17.6699811797	17.6940907968	92.2074489294	99.5978693602
1	1	1	2	10	11.7	17.8831453293	17.91740995	43.0925746574	44.0007043332
1	1	1	2	11	13.9	18.2063179982	18.2631219061	2.8630992797	-3.8692828626
1	1	1	2	12	13.9	18.5138479936	18.6039097648	-6.1298228461	-19.0592837675
1	1	1	2	13	13.9	19.0803757901	19.2146285149	-6.4965955854	-18.8655764844
1	1	1	2	14	13.9	19.1144092129	19.284150382	36.3499009408	24.8115571978
1	1	1	2	15	12.2	19.2002003774	19.3985168306	53.6139094023	41.3988081583
1	1	1	2	16	12.8	19.1362839731	19.3448409134	89.9582720271	88.5085265508
1	1	1	2	17	11.1	18.8873061551	19.0811409865	149.5038158807	159.7524199597
1	1	1	2	18	10.6	18.6988031852	18.8693136536	198.6697401974	225.4837695862
1	1	1	2	19	11.7	18.5854066577	18.7241740499	184.5284004015	215.7610632814
1	1	1	2	20	11.7	18.5826703704	18.6950697049	137.9892600054	164.1536359202
1	1	1	2	21	10	18.5204921621	18.6081904163	126.1454731676	149.2978097362
1	1	1	2	22	8.9	18.354385775	18.4201680038	159.3968786125	185.1148830544
1	1	1	2	23	9.4	18.2520381175	18.3012327574	171.3442101939	195.7289436572
1	1	1	2	24	8.9	18.1280800291	18.1632315131	165.9687223442	187.6633330741
1	1	1	3	1	9.4	18.1524613928	18.180084689	131.8978515029	149.2621135073
1	1	1	3	2	10	18.1762039546	18.1989005067	104.077357426	116.6760417017
1	1	1	3	3	12.2	18.121924279	18.1397117901	115.9069219428	128.4910694749
1	1	1	3	4	13.9	18.2166708884	18.234459592	101.4817764287	111.7722533274
1	1	1	3	5	12.8	18.2275432419	18.2446339601	92.7897501621	101.4686802604
1	1	1	3	6	12.2	18.2084278754	18.2249073637	107.6144228043	117.2598499816
1	1	1	3	7	11.1	18.1567703096	18.1721690117	125.4059577135	136.7533420999
1	1	1	3	8	11.1	18.1025140563	18.1168386505	132.7367549929	144.8658510414
1	1	1	3	9	11.7	18.1486101285	18.1647015186	112.4593109323	122.2609133935
1	1	1	3	10	13.3	18.4035590478	18.4299273933	50.4458014014	52.5602333947
1	1	1	3	11	12.2	18.5937240542	18.6376621661	27.9409448379	24.662825492
1	1	1	3	12	15	18.9217292813	18.9969306878	13.0867052451	3.2243688956
1	1	1	3	13	15.6	19.213789621	19.3229674265	27.6649181547	19.9252272667
1	1	1	3	14	16.1	19.5849127552	19.7377366565	6.5182532407	-12.7548597728
1	1	1	3	15	16.1	19.6044453947	19.7828571249	47.5413430431	20.9116671044
1	1	1	3	16	13.9	19.4886611345	19.6731746633	87.8245991993	66.8118279151
1	1	1	3	17	13.9	19.1713106757	19.3400703491	170.2306866604	163.8808839793
1	1	1	3	18	12.8	19.1095639083	19.261286642	188.7740827601	214.5462965455
1	1	1	3	19	12.2	19.0171952364	19.1420744452	156.9818516197	183.0424830188
1	1	1	3	20	10.6	18.8663173901	18.9645929728	161.2723255459	188.2486636377
1	1	1	3	21	10	18.8427008954	18.9222887515	149.8637938451	174.3174146086
1	1	1	3	22	8.9	18.673026545	18.7329427945	159.2406634201	182.785181654
1	1	1	3	23	8.9	18.6637109983	18.7118030848	147.1837084066	167.7558099676
1	1	1	3	24	8.9	18.6319962012	18.6701825545	127.5051725727	144.3566064948
1	1	1	4	1	8.3	18.4402709088	18.4675978839	157.0478718086	176.1546534405
1	1	1	4	2	7.8	18.2704929436	18.2893190689	189.7032650723	210.5984378454
1	1	1	4	3	8.3	18.2491396088	18.2638466423	158.0356371375	174.9024269634
1	1	1	4	4	6.1	17.9889745272	17.9952327965	175.4686097184	193.8400672272
1	1	1	4	5	4.4	17.8769303392	17.879561945	186.2122340928	205.0841369695
1	1	1	4	6	6.1	17.7106697005	17.7084432902	180.0264098092	198.0322400508
1	1	1	4	7	5	17.5488552857	17.542809394	179.6226552197	197.1698694004
1	1	1	4	8	6.7	17.518772724	17.5128094134	151.7501528489	165.9002081353
