period4	week	month	day	hour	environment	t_1	t_2	t_3	t_4	t_5	pf_1	pf_2	pf_3	pf_4	pf_5	lf_1	lf_2	lf_3	lf_4	lf_5	ef_1	ef_2	ef_3	ef_4	ef_5	if_1	if_2	if_3	if_4	if_5	hvac_1	hvac_2	hvac_3	hvac_4	hvac_5
1	1	1	1	1	7.0125	19.877913899	19.8769159415	19.7942145997	19.8750146029	21.0976112796	0	0	0	0	0	79.2	34.2	79.2	34.2	148.2	21.12	9.12	21.12	9.12	39.52	-47291.0188841984	-21088.2609079713	-46872.2372823346	-21340.9954810016	-95064.5421701521	0	0	0	0	0
1	1	1	1	2	7.2	19.7171434159	19.7025524827	19.6421726277	19.7000314136	20.9428784294	0	0	0	0	0	79.2	34.2	79.2	34.2	148.2	21.12	9.12	21.12	9.12	39.52	-56143.8614903735	-25098.5261796069	-55646.6205318686	-25433.0466174267	-113966.310093297	0	0	0	0	0
1	1	1	1	3	6.8875	19.5474021734	19.5317173968	19.4713569148	19.5291606376	20.7799952963	0	0	0	0	0	79.2	34.2	79.2	34.2	148.2	21.12	9.12	21.12	9.12	39.52	-94617.9441940535	-42179.5349533835	-93804.0307125832	-42705.0658210549	-191267.68445327	0	0	0	0	0
1	1	1	1	4	6.325	19.4114143125	19.3910671255	19.3317798712	19.3916641342	20.6763057186	0	0	0	0	0	79.2	34.2	79.2	34.2	148.2	21.12	9.12	21.12	9.12	39.52	-82185.0395378435	-36520.6864570572	-81495.1957079288	-36952.7659395876	-165892.92309256	0	0	0	0	0
1	1	1	1	5	5.0375	19.2474006436	19.2321282926	19.1704981001	19.2358718394	20.5784356856	0	0	0	0	0	79.2	34.2	79.2	34.2	148.2	21.12	9.12	21.12	9.12	39.52	-137683.348729452	-60884.5739064471	-136710.219622313	-61512.0615072581	-276442.354792149	0	0	0	0	0
1	1	1	1	6	4.4	19.1002566024	19.0943817612	19.029688277	19.096531183	20.4812545176	0	0	0	0	0	79.2	34.2	79.2	34.2	148.2	21.12	9.12	21.12	9.12	39.52	-143454.983741426	-63337.8936069418	-142561.028895112	-63935.1595973551	-287913.100901474	0	0	0	0	0
1	1	1	1	7	5.4625	19.0922287991	19.0704284833	19.0252619481	19.067044734	20.4529651181	0	0	0	0	0	79.2	34.2	79.2	34.2	148.2	21.12	9.12	21.12	9.12	39.52	-42798.4323556614	-18904.2783610258	-42521.7331187579	-19079.8244375577	-86302.4952531925	0	0	0	0	0
1	1	1	1	8	5.4125	21.41820993	21.6094060483	21.3868884183	21.3518541071	21.9020251538	0	0	0	0	0	79.2	34.2	79.2	34.2	148.2	21.12	9.12	21.12	9.12	39.52	0	0	0	0	0	6858.8554674812	2689.5436116731	6873.7972281314	5566.7616143178	7972.247458481
1	1	1	1	9	6.75	22.119987362	23.4478865752	22.0840225516	22.0900921504	22.430094956	11	5	11	5	20	1425.6	615.6	1425.6	615.6	2667.6	422.4	182.4	422.4	182.4	790.4	0	0	0	0	0	1651.6988358226	-397.1214404429	1730.9396492055	1852.8711550195	958.2292797839
1	1	1	1	10	8.4875	22.6551400952	25.1638414838	22.5176226616	22.5111231323	22.7216671624	11	5	11	5	20	1504.8	649.8	1504.8	649.8	2815.8	950.4	410.4	950.4	410.4	1778.4	0	0	0	0	0	-626.9169940205	-1704.0456915837	-340.0007448396	282.209467776	-1788.3746346407
