period4	week	month	day	hour	environment	t_1	t_2	t_3	t_4	t_5	hvac_1	hvac_2	hvac_3	hvac_4	hvac_5
1	1	1	1	1	7.0125	17.5994754914	17.5851254964	17.4999514952	17.6035611313	18.3689286892	-1208.244382943	-536.6213180141	-1191.6390113336	-531.926542503	-2303.3098269046
1	1	1	1	2	7.2	17.4144413935	17.3737847442	17.3202079233	17.3879717403	18.1989829123	-1166.2778880402	-517.6599372935	-1150.5021345724	-513.5958702492	-2231.4471963771
1	1	1	1	3	6.8875	17.2340194999	17.1870611744	17.1397325635	17.2006457225	18.0377090355	-1182.7154440989	-523.8150950447	-1166.4500092066	-519.569693445	-2265.1555513814
1	1	1	1	4	6.325	17.0414988936	16.9889721715	16.9435046098	17.0043632316	17.8694140812	-1226.4142549814	-542.9972051791	-1209.580114822	-538.6275356243	-2348.2792786777
1	1	1	1	5	5.0375	16.7707514467	16.7271287513	16.6750158707	16.7463190883	17.6447044039	-1346.7192137154	-594.1962095062	-1328.6040248019	-588.6888484488	-2573.5461901096
1	1	1	1	6	4.4	16.5256627158	16.4800294542	16.4318172285	16.4963999995	17.4349746876	-1392.0273907393	-619.9343820752	-1375.9333697464	-615.7110314192	-2660.7720579295
1	1	1	1	7	5.4625	17.9081005896	17.8695072659	17.8734116286	17.8723683433	18.5078752096	1688.222677632	815.9775183112	1785.1468110255	814.1995729123	1191.3808732467
1	1	1	1	8	5.4125	20.8419814182	21.2694222673	20.9285179144	20.9957691158	21.4051725036	7554.2123122078	3217.4184634368	7646.8984808768	3567.0537069669	10233.5067024359
1	1	1	1	9	6.75	21.8431977232	22.9960317218	21.7921588605	21.7090434165	22.0699390849	5176.365290863	988.435160885	5528.7967654251	2439.6877609568	7389.599455534
1	1	1	1	10	8.4875	22.1892579833	24.0998792821	22.0541863099	22.0048390167	22.1844911358	3560.0281275602	-271.3848609175	4158.3031111564	1895.0424883962	6121.4257465827
1	1	1	1	11	9.2125	22.555184589	24.5755372062	22.2245683699	22.2269616768	22.2568637747	2619.3996683625	-797.407300982	3353.8776578653	1548.1166712077	5400.4967396137
1	1	1	1	12	9.775	22.9711096814	24.4005659603	22.400589238	22.415177066	22.3566631238	1743.0092059529	-723.3535406621	2812.8869348379	1277.1281221768	4852.0324175173
1	1	1	1	13	10.375	23.4146635861	23.934663234	22.5168851809	22.5507313294	22.4454962595	911.4889329356	-271.525352245	2445.0473843238	1091.7197376049	4336.8502069265
1	1	1	1	14	10.9125	23.8809979871	23.4662494535	22.5914933698	22.6520343832	22.5226996636	-215.7033992726	263.1954251247	2201.832232067	957.7236461652	3904.8419941288
1	1	1	1	15	12.85	24.570876505	23.1450068701	22.6378328803	22.778716119	22.5930613257	-1284.8451270304	474.3124635961	1838.7497453368	727.9842408309	3209.6571672148
1	1	1	1	16	13.9	24.8598782393	22.9231465464	22.5862103515	22.9684882369	22.649331117	-1243.0597307892	583.3363738376	1794.864083125	529.7548220904	2774.5561126437
1	1	1	1	17	12.15	23.3940505996	22.6076898834	22.3852801691	22.6908859621	22.635944495	586.2398386019	936.5960226609	2488.0763302408	860.6162424424	3184.5216565213
1	1	1	1	18	11.1	22.7381628984	22.3949796717	22.2629640551	22.4335666106	22.5608869992	2026.0420716207	1211.9262438356	2932.7109602838	1164.884105656	3624.4901994269
1	1	1	1	19	10.7875	22.4260617894	22.2711518924	22.1845249754	22.2918158383	22.4977148715	2633.4872107525	1376.8345530705	3182.2237099521	1347.9102649234	3912.6682205317
1	1	1	1	20	10.6	22.2549608027	22.192267217	22.1250332299	22.2023782681	22.4474010264	3073.5058402961	1491.3952030378	3379.9328365777	1474.497962038	4151.4473219755
1	1	1	1	21	9.5375	22.1832301701	22.1286031682	22.0678708696	22.1335150943	22.4062722895	3622.6725367307	1643.5966475927	3694.2666062994	1634.8005494594	4568.5526820812
1	1	1	1	22	9.2125	19.9644875755	19.9935742794	19.8512444339	20.0245801593	20.4652390843	-1275.2804570505	-544.8397900569	-1251.1933416816	-532.5567699011	-2391.3865573382
