Date/Time,Outside tempertaure,WEST ZONE:Zone Operative Temperature [C](Hourly),EAST ZONE:Zone Operative Temperature [C](Hourly),WEST ZONE:Zone Lights Total Heating Rate [W](Hourly),EAST ZONE:Zone Lights Total Heating Rate [W](Hourly),West Zone:total power (Electric Machine (such as CPU) genearated power-air system cooling),East Zone:total power (genearated power-air system cooling),WESTDATACENTER_EQUIP:ITE Total Heat Gain to Zone Rate [W](Hourly),EAST ZONE:Zone ITE Total Heat Gain to Zone Rate [W](Hourly),WEST ZONE:Zone Air System Sensible Cooling Rate [W](Hourly),EAST ZONE:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly)
 01/01  01:00:00,7.2,22.26470631,21.86900716,14.2,14.2,-359.4539852,663.3948213,35953.74832,36519.15555,34319.05627,33805.80509,1994.146036,2049.95563
 01/01  02:00:00,7.2,22.08503477,21.9143863,14.2,14.2,612.1143581,552.7068903,38545.12136,43183.51248,36354.60244,40547.63824,1578.404556,2083.167345
 01/01  03:00:00,6.7,22.14474061,21.89493981,14.2,14.2,856.0672929,624.2502821,39185.96506,41001.54321,36745.33737,38352.18687,1584.560399,2025.106065
 01/01  04:00:00,6.1,22.14935313,21.8465532,14.2,14.2,1260.543597,620.1409073,39112.57445,42542.22739,36373.04535,39741.62838,1478.985509,2180.458101
 01/01  05:00:00,4.4,22.22104995,21.84647797,14.2,14.2,1423.886942,661.4946499,39647.02449,42553.78176,36728.17616,39711.56385,1494.961388,2180.723258
 01/01  06:00:00,4.4,22.23740757,21.81667671,14.2,14.2,1482.323786,876.3432827,39875.32762,41649.71434,36940.34899,38720.60924,1452.65484,2052.761818
 01/01  07:00:00,6.1,22.38245377,21.90153547,14.2,14.2,631.1521483,-273.970547,52156.72702,55364.90212,48677.65403,51953.28282,2847.920836,3685.589852
 01/01  08:00:00,5,22.09139498,21.76800938,14.2,14.2,169.5497208,-122.4475972,45453.93113,48272.63083,42596.88573,44982.52389,2687.495678,3412.554546
 01/01  09:00:00,7.8,22.5227536,22.07520763,14.2,14.2,-790.1438918,-2267.741835,60522.95954,65658.15344,57268.19661,62723.1911,4044.906825,5202.704175
 01/01  10:00:00,8.9,22.58167919,22.17122082,255.6,255.6,-1842.890803,-2615.770379,53389.51216,55775.15835,51541.39311,53880.5306,3691.009852,4510.398134
 01/01  11:00:00,9.4,22.81938549,22.28071889,269.8,269.8,-1244.67937,-2848.031202,56568.47418,61370.06401,54310.52264,59460.11311,3502.630908,4757.9821
 01/01  12:00:00,10,22.99587797,22.34542473,284,284,-1326.700036,-2946.547675,56174.69185,58317.67353,54114.45025,56775.64119,3386.941638,4488.580018
 01/01  13:00:00,10.6,23.1660949,22.37604092,269.8,269.8,-1425.801778,-3401.135638,56812.83303,60169.84854,54856.94134,58789.56958,3381.693476,4781.414601
 01/01  14:00:00,11.1,23.32219006,22.44216243,227.2,227.2,-1419.338686,-3511.669201,56578.5399,58637.21348,54727.98308,57501.54847,3269.895511,4647.334208
 01/01  15:00:00,13.9,23.46375242,22.45890671,255.6,255.6,-1390.190224,-3661.545967,57220.50038,58559.21005,55296.76903,57531.28042,3313.921571,4689.475601
 01/01  16:00:00,13.9,23.36017434,22.27980405,284,284,-1114.650443,-3367.266553,57548.02902,59375.28659,55443.40763,57972.19152,3219.271831,4770.361619
 01/01  17:00:00,11.1,23.26080936,22.11780643,284,284,-512.2889693,-2697.750973,57582.05598,59293.83621,54923.22657,57337.59609,3171.118384,4653.991094
 01/01  18:00:00,11.1,23.28846439,22.04755478,14.2,14.2,-204.2769942,-2315.150791,58037.53524,58985.77427,55065.06346,56766.10914,3176.748774,4534.815922
 01/01  19:00:00,10.6,22.81509906,22.01422569,14.2,14.2,-1489.024431,-994.4706377,48443.5507,48396.46671,46936.07705,46086.82588,2996.498084,3304.111464
 01/01  20:00:00,10.6,22.60465379,22.09865438,14.2,14.2,-582.1204321,-1177.133888,49238.35939,54516.30914,47135.3227,52058.43769,2685.157127,3635.005345
 01/01  21:00:00,8.9,22.65807513,22.05844931,14.2,14.2,-141.1771307,-983.1585972,49694.88952,50901.10538,47166.49575,48529.39175,2669.570898,3354.872226
 01/01  22:00:00,9.4,22.69840378,22.04353362,14.2,14.2,30.31470824,-1221.462728,49882.715,53435.69576,47254.00764,50996.72379,2598.392644,3660.43469
