Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly),SPACE1-1:Zone People Occupant Count [](Hourly),SPACE2-1:Zone People Occupant Count [](Hourly),SPACE3-1:Zone People Occupant Count [](Hourly),SPACE4-1:Zone People Occupant Count [](Hourly),SPACE5-1:Zone People Occupant Count [](Hourly),SPACE1-1:Zone Lights Total Heating Rate [W](Hourly),SPACE2-1:Zone Lights Total Heating Rate [W](Hourly),SPACE3-1:Zone Lights Total Heating Rate [W](Hourly),SPACE4-1:Zone Lights Total Heating Rate [W](Hourly),SPACE5-1:Zone Lights Total Heating Rate [W](Hourly),SPACE1-1:Zone Electric Equipment Total Heating Rate [W](Hourly),SPACE2-1:Zone Electric Equipment Total Heating Rate [W](Hourly),SPACE3-1:Zone Electric Equipment Total Heating Rate [W](Hourly),SPACE4-1:Zone Electric Equipment Total Heating Rate [W](Hourly),SPACE5-1:Zone Electric Equipment Total Heating Rate [W](Hourly),SPACE1-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE2-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE3-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE4-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE5-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),space1,space2,space3,space4,space5,SPACE1-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE2-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE3-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE4-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE5-1:Zone Infiltration Total Heat Loss Energy [J](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE1-1 COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SPACE2-1 COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SPACE3-1 COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SPACE4-1 COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SPACE5-1 COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly)
 01/01  01:00:00,7.0125,19.8779139,19.87691594,19.7942146,19.8750146,21.09761128,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-47291.01888,-21088.26091,-46872.23728,-21340.99548,-95064.54217,0,0,0,0,0,47291.01888,21088.26091,46872.23728,21340.99548,95064.54217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  02:00:00,7.2,19.71714342,19.70255248,19.64217263,19.70003141,20.94287843,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-56143.86149,-25098.52618,-55646.62053,-25433.04662,-113966.3101,0,0,0,0,0,56143.86149,25098.52618,55646.62053,25433.04662,113966.3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  03:00:00,6.8875,19.54740217,19.5317174,19.47135691,19.52916064,20.7799953,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-94617.94419,-42179.53495,-93804.03071,-42705.06582,-191267.6845,0,0,0,0,0,94617.94419,42179.53495,93804.03071,42705.06582,191267.6845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  04:00:00,6.325,19.41141431,19.39106713,19.33177987,19.39166413,20.67630572,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-82185.03954,-36520.68646,-81495.19571,-36952.76594,-165892.9231,0,0,0,0,0,82185.03954,36520.68646,81495.19571,36952.76594,165892.9231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  05:00:00,5.0375,19.24740064,19.23212829,19.1704981,19.23587184,20.57843569,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-137683.3487,-60884.57391,-136710.2196,-61512.06151,-276442.3548,0,0,0,0,0,137683.3487,60884.57391,136710.2196,61512.06151,276442.3548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  06:00:00,4.4,19.1002566,19.09438176,19.02968828,19.09653118,20.48125452,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-143454.9837,-63337.89361,-142561.0289,-63935.1596,-287913.1009,0,0,0,0,0,143454.9837,63337.89361,142561.0289,63935.1596,287913.1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  07:00:00,5.4625,19.0922288,19.07042848,19.02526195,19.06704473,20.45296512,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,-42798.43236,-18904.27836,-42521.73312,-19079.82444,-86302.49525,0,0,0,0,0,42798.43236,18904.27836,42521.73312,19079.82444,86302.49525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  08:00:00,5.4125,21.41820993,21.60940605,21.38688842,21.35185411,21.90202515,0,0,0,0,0,79.2,34.2,79.2,34.2,148.2,21.12,9.12,21.12,9.12,39.52,0,0,0,0,0,6858.855467,2689.543612,6873.797228,5566.761614,7972.247458,0,0,0,0,0,2367.187928,49.77469912,856.4084362,19.19394865,2367.239503,42.2503327,1041.791124,23.8375676,2349.451908,373.7167231,4541.442239,1852.329124,4548.808058,2035.019553,5996.512274,0,0,0,0,0
 01/01  09:00:00,6.75,22.11998736,23.44788658,22.08402255,22.09009215,22.43009496,11,5,11,5,20,1425.6,615.6,1425.6,615.6,2667.6,422.4,182.4,422.4,182.4,790.4,0,0,0,0,0,1651.698836,-397.1214404,1730.939649,1852.871155,958.2292798,0,0,0,0,0,30.94381424,219.8761722,0,659.8385902,35.10604084,184.5512821,30.26266232,57.77639775,0,1375.640428,1840.631194,262.7171498,1880.38489,883.0149388,2333.869708,0,0,0,0,0
 01/01  10:00:00,8.4875,22.6551401,25.16384148,22.51762266,22.51112313,22.72166716,11,5,11,5,20,1504.8,649.8,1504.8,649.8,2815.8,950.4,410.4,950.4,410.4,1778.4,0,0,0,0,0,-626.916994,-1704.045692,-340.0007448,282.2094678,-1788.374635,0,0,0,0,0,0,1219.479124,0,1298.188607,0,1076.144467,0,453.9342544,0,2551.229133,592.5621302,0,736.1437222,357.4223655,762.8544988,0,405.857085,0,0,0
