Date/Time,Outside temperature,WEST ZONE:Zone Operative Temperature [C](Hourly),EAST ZONE:Zone Operative Temperature [C](Hourly),West zone heating power,East zone heating power,WEST ZONE:Zone Air System Sensible Heating Rate [W](Hourly),EAST ZONE:Zone Air System Sensible Heating Rate [W](Hourly),WEST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly)
 01/01  01:00:00,7.2,18.16616288,18.22511793,174.8327979,197.5277383,326.5253411,352.080826,151.6925432,154.5530877
 01/01  02:00:00,7.2,18.13206605,18.18243441,157.6927229,176.8162058,332.7058274,359.664144,175.0131045,182.8479382
 01/01  03:00:00,6.7,18.03966832,18.08169108,143.7376557,161.3300178,330.1411038,357.6978262,186.4034481,196.3678084
 01/01  04:00:00,6.1,17.88706956,17.92027104,162.0777907,180.2572613,357.6563972,387.9119268,195.5786065,207.6546655
 01/01  05:00:00,4.4,17.78897118,17.81647658,166.4130325,184.5261212,382.0287326,415.4421206,215.6157001,230.9159994
 01/01  06:00:00,4.4,17.66273597,17.68509421,162.3737961,179.3966522,395.7379478,430.9173472,233.3641517,251.5206949
 01/01  07:00:00,6.1,17.49588282,17.5131424,173.2355668,190.6727234,423.4138364,461.5242843,250.1782696,270.8515609
 01/01  08:00:00,5,17.33158756,17.34444507,182.5102413,200.5797981,456.0649989,497.8361789,273.5547576,297.2563807
 01/01  09:00:00,7.8,17.63305052,17.6541407,77.17682576,83.47603074,379.6488562,413.2470535,302.4720304,329.7710228
 01/01  10:00:00,8.9,18.09882804,18.13855086,3.861963719,0.638432893,254.524948,272.7551852,250.6629843,272.1167523
 01/01  11:00:00,9.4,18.44881648,18.51973328,11.75848557,4.968040937,189.7050745,194.4542004,177.9465889,189.4861595
 01/01  12:00:00,10,18.72516374,18.84006067,36.11799195,27.70189422,167.4816867,161.7273155,131.3636948,134.0254213
