Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SPACE1-1:Zone Operative Temperature [C](Hourly),SPACE2-1:Zone Operative Temperature [C](Hourly),SPACE3-1:Zone Operative Temperature [C](Hourly),SPACE4-1:Zone Operative Temperature [C](Hourly),SPACE5-1:Zone Operative Temperature [C](Hourly),space1 power input,space2 power input,space3 power input,space4 power input,space5 power input,SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),
 01/01  01:00:00,7.0125,17.59947549,17.5851255,17.4999515,17.60356113,18.36892869,-1208.244383,-536.621318,-1191.639011,-531.9265425,-2303.309827,0,1208.244383,0,536.621318,0,1191.639011,0,531.9265425,0,2303.309827,0,0,0,0,0,
 01/01  02:00:00,7.2,17.41444139,17.37378474,17.32020792,17.38797174,18.19898291,-1166.277888,-517.6599373,-1150.502135,-513.5958702,-2231.447196,0,1166.277888,0,517.6599373,0,1150.502135,0,513.5958702,0,2231.447196,0,0,0,0,0,
 01/01  03:00:00,6.8875,17.2340195,17.18706117,17.13973256,17.20064572,18.03770904,-1182.715444,-523.815095,-1166.450009,-519.5696934,-2265.155551,0,1182.715444,0,523.815095,0,1166.450009,0,519.5696934,0,2265.155551,0,0,0,0,0,
 01/01  04:00:00,6.325,17.04149889,16.98897217,16.94350461,17.00436323,17.86941408,-1226.414255,-542.9972052,-1209.580115,-538.6275356,-2348.279279,0,1226.414255,0,542.9972052,0,1209.580115,0,538.6275356,0,2348.279279,0,0,0,0,0,
 01/01  05:00:00,5.0375,16.77075145,16.72712875,16.67501587,16.74631909,17.6447044,-1346.719214,-594.1962095,-1328.604025,-588.6888484,-2573.54619,0,1346.719214,0,594.1962095,0,1328.604025,0,588.6888484,0,2573.54619,0,0,0,0,0,
 01/01  06:00:00,4.4,16.52566272,16.48002945,16.43181723,16.4964,17.43497469,-1392.027391,-619.9343821,-1375.93337,-615.7110314,-2660.772058,0,1392.027391,0,619.9343821,0,1375.93337,0,615.7110314,0,2660.772058,0,0,0,0,0,
 01/01  07:00:00,5.4625,17.90810059,17.86950727,17.87341163,17.87236834,18.50787521,1688.222678,815.9775183,1785.146811,814.1995729,1191.380873,259.6906659,200.6445215,148.9703309,98.27821722,320.6366941,213.2957543,143.6688106,93.76875817,356.4254806,1194.396045,1629.176533,765.2854046,1677.805871,764.2995205,2029.351437,
 01/01  08:00:00,5.4125,20.84198142,21.26942227,20.92851791,20.99576912,21.4051725,7554.212312,3217.418463,7646.898481,3567.053707,10233.5067,2703.865608,0,1122.798676,13.9387826,2737.435362,0.564293171,1284.006139,0,3345.363058,206.554197,4850.346704,2108.55857,4910.027412,2283.047568,7094.697841,
 01/01  09:00:00,6.75,21.84319772,22.99603172,21.79215886,21.70904342,22.06993908,5176.365291,988.4351609,5528.796765,2439.687761,7389.599456,1688.58748,134.7766708,85.8402053,53.05852954,1814.358809,84.45082451,760.0855208,0,2427.334807,613.7974949,3622.554481,955.6534851,3798.888781,1679.60224,5576.062143,
 01/01  10:00:00,8.4875,22.18925798,24.09987928,22.05418631,22.00483902,22.18449114,3560.028128,-271.3848609,4158.303111,1895.042488,6121.425747,1006.640116,148.2631233,0,547.4898283,1208.13176,46.83581135,537.244006,0,1551.477856,163.636925,2701.651134,276.1049674,2997.007162,1357.798482,4733.584816,
 01/01  11:00:00,9.2125,22.55518459,24.57553721,22.22456837,22.22696168,22.25686377,2619.399668,-797.407301,3353.877658,1548.116671,5400.49674,439.2594934,0,0,797.407301,807.7136389,0,384.4193116,0,1117.294304,0,2180.140175,0,2546.164019,1163.69736,4283.202435,
 01/01  12:00:00,9.775,22.97110968,24.40056596,22.40058924,22.41517707,22.35666312,1743.009206,-723.3535407,2812.886935,1277.128122,4852.032418,60.60236318,23.77724154,0,737.9889634,573.0076923,0,265.1418595,0,908.1020167,0,1706.184084,14.63542269,2239.879243,1011.986263,3943.930401,
 01/01  13:00:00,10.375,23.41466359,23.93466323,22.51688518,22.55073133,22.44549626,911.4889329,-271.5253522,2445.047384,1091.719738,4336.850207,0,341.0096143,0,493.6168866,426.9755594,0,189.6607979,0,719.4139173,0,1252.498547,222.0915343,2018.071825,902.0589397,3617.43629,
 01/01  14:00:00,10.9125,23.88099799,23.46624945,22.59149337,22.65203438,22.52269966,-215.7033993,263.1954251,2201.832232,957.7236462,3904.841994,0,870.6801581,0,210.9111499,339.1912451,0,138.0316082,0,564.8981964,0,654.9767589,474.106575,1862.640987,819.6920379,3339.943798,
 01/01  15:00:00,12.85,24.57087651,23.14500687,22.63783288,22.77871612,22.59306133,-1284.845127,474.3124636,1838.749745,727.9842408,3209.657167,0,1304.606477,0,48.94577841,281.9818731,0,79.61844954,0,443.3856522,0,19.76134995,523.258242,1556.767872,648.3657913,2766.271515,
 01/01  16:00:00,13.9,24.85987824,22.92314655,22.58621035,22.96848824,22.64933112,-1243.059731,583.3363738,1794.864083,529.7548221,2774.556113,0,1243.059731,36.40211723,0,327.8898461,0,11.31050777,0,349.1048141,0,0,546.9342566,1466.974237,518.4443143,2425.451299,
 01/01  17:00:00,12.15,23.3940506,22.60768988,22.38528017,22.69088596,22.6359445,586.2398386,936.5960227,2488.07633,860.6162424,3184.521657,4.994265527,395.3466825,162.1451909,0,562.2507294,0,125.886635,0,350.3081663,0,976.5922555,774.4508317,1925.825601,734.7296074,2834.21349,
 01/01  18:00:00,11.1,22.7381629,22.39497967,22.26296406,22.43356661,22.560887,2026.042072,1211.926244,2932.71096,1164.884106,3624.490199,263.2067889,0,269.4161031,0,717.7743638,0,247.5969976,0,448.7159566,0,1762.835283,942.5101407,2214.936596,917.287108,3175.774243,
 01/01  19:00:00,10.7875,22.42606179,22.27115189,22.18452498,22.29181584,22.49771487,2633.487211,1376.834553,3182.22371,1347.910265,3912.668221,548.5817835,0,343.4720669,0,824.3029737,0,330.6964371,0,559.2133164,0,2084.905427,1033.362486,2357.920736,1017.213828,3353.454904,
 01/01  20:00:00,10.6,22.2549608,22.19226722,22.12503323,22.20237827,22.44740103,3073.50584,1491.395203,3379.932837,1474.497962,4151.447322,756.886028,0,395.4667251,0,911.4291592,0,388.7317157,0,657.4586811,0,2316.619812,1095.928478,2468.503677,1085.766246,3493.988641,
 01/01  21:00:00,9.5375,22.18323017,22.12860317,22.06787087,22.13351509,22.40627229,3622.672537,1643.596648,3694.266606,1634.800549,4568.552682,1032.494471,72.28250409,440.9891564,0,1001.206007,0,438.2506953,0,743.5636493,0,2662.46057,1202.607491,2693.0606,1196.549854,3824.989033,
 01/01  22:00:00,9.2125,19.96448758,19.99357428,19.85124443,20.02458016,20.46523908,-1275.280457,-544.8397901,-1251.193342,-532.5567699,-2391.386557,0,1275.280457,0,544.8397901,0,1251.193342,0,532.5567699,0,2391.386557,0,0,0,0,0,
 01/01  23:00:00,8.4,18.65035912,18.68884335,18.53146498,18.71829436,19.2675521,-1168.787613,-508.6700878,-1145.768995,-499.6970163,-2203.610324,0,1168.787613,0,508.6700878,0,1145.768995,0,499.6970163,0,2203.610324,0,0,0,0,0,
 01/01  24:00:00,7.1125,17.98062974,17.99991095,17.86993937,18.02364554,18.70066815,-1240.999244,-544.0069248,-1219.991619,-536.1829506,-2352.861302,0,1240.999244,0,544.0069248,0,1219.991619,0,536.1829506,0,2352.861302,0,0,0,0,0,
 01/02  01:00:00,8.075,17.70616661,17.67695835,17.60348154,17.69172254,18.46432676,-1095.42531,-490.6550345,-1080.616634,-487.8773532,-2097.995013,0,1095.42531,0,490.6550345,0,1080.616634,0,487.8773532,0,2097.995013,0,0,0,0,0,
 01/02  02:00:00,7.15,17.48553698,17.44851597,17.38770074,17.46706137,18.27137306,-1181.760198,-516.3425062,-1162.502397,-510.0336517,-2261.455054,0,1181.760198,0,516.3425062,0,1162.502397,0,510.0336517,0,2261.455054,0,0,0,0,0,
 01/02  03:00:00,5.7875,17.11094609,17.073627,17.01160288,17.09356121,17.93169774,-1295.881968,-573.0770558,-1278.250305,-567.721703,-2471.049544,0,1295.881968,0,573.0770558,0,1278.250305,0,567.721703,0,2471.049544,0,0,0,0,0,
 01/02  04:00:00,4.5375,16.7871735,16.75041887,16.69109234,16.76995217,17.65807215,-1405.631562,-620.3197838,-1387.185585,-614.2848139,-2678.300057,0,1405.631562,0,620.3197838,0,1387.185585,0,614.2848139,0,2678.300057,0,0,0,0,0,
 01/02  05:00:00,4.9625,16.60834911,16.54568904,16.50671504,16.5576923,17.50481848,-1333.423397,-597.5664702,-1318.355754,-594.870986,-2551.888666,0,1333.423397,0,597.5664702,0,1318.355754,0,594.870986,0,2551.888666,0,0,0,0,0,
 01/02  06:00:00,6.6,16.71044313,16.61090008,16.60139258,16.61639433,17.59799622,-1154.490148,-518.2729485,-1139.794715,-517.2930213,-2229.745318,0,1154.490148,0,518.2729485,0,1139.794715,0,517.2930213,0,2229.745318,0,0,0,0,0,
 01/02  07:00:00,7.575,17.97712333,17.90741188,17.92320202,17.91243997,18.51562151,1308.369061,653.0436113,1417.736606,651.6778543,664.6777953,305.2882164,305.20754,124.6288679,94.59947517,268.5886144,212.2308082,135.344273,105.993481,211.0635887,1067.216392,1308.288385,623.0142186,1361.378799,622.3270622,1520.830598,
 01/02  08:00:00,7.425,20.87048715,21.2564335,20.94512422,21.01263324,21.41233562,7159.295773,3108.881966,7539.647527,3423.006108,10085.32192,2632.010495,0,1112.982356,0,2811.720762,2.972896863,1269.93206,0,3473.438042,178.8532496,4527.285278,1995.89961,4730.899662,2153.074048,6790.73713,
 01/02  09:00:00,9.325,21.81957441,22.86622218,21.82840396,21.74258641,22.05891763,4800.345876,951.806982,5004.249399,2237.507656,6956.116748,1554.246013,21.87019458,110.6449073,21.78477169,1658.326309,22.72636189,733.4487942,0,2226.640191,329.4776708,3267.970057,862.9468463,3368.649453,1504.058862,5058.954228,
 01/02  10:00:00,11.2875,22.15728389,23.91877896,22.05970982,22.06003772,22.14898812,3292.647289,-191.6181586,3522.570176,1650.646677,5323.484212,909.9881576,0,0,426.2655086,1026.247137,0,496.5671751,0,1322.722683,0,2382.659131,234.64735,2496.323039,1154.079502,4000.76153,
 01/02  11:00:00,13.075,22.56064296,24.39637863,22.3034676,22.30425675,22.26166966,2054.695638,-585.6804797,2626.142476,1214.55468,4472.061401,404.4641601,0,0,585.6804797,691.5383477,0,330.1482818,0,1103.389278,0,1650.231478,0,1934.604128,884.4063985,3368.672122,
 01/02  12:00:00,13.9,23.09069665,24.81566212,22.48581481,22.49470862,22.3650137,991.5414915,-556.3792502,2052.654081,935.6330489,3853.971847,19.87083646,94.76935225,0,556.3792502,456.9573191,0,214.4066243,0,889.2102619,0,1066.440007,0,1595.696762,721.2264246,2964.761585,
 01/02  13:00:00,13.9,23.63422228,24.3707096,22.60633424,22.63510142,22.46460446,-5.658130126,-523.6789275,1770.467948,790.1877341,3452.725507,0,573.7913253,0,523.6789275,315.4362254,0,141.5059008,0,687.7493009,0,568.1331951,0,1455.031722,648.6818333,2764.976206,
 01/02  14:00:00,13.9,23.90593212,23.61479753,22.71128115,22.76516301,22.5482728,-700.0401775,-84.20824497,1563.059884,673.9234557,3123.765732,0,921.2346176,0,296.9612038,211.4524356,0,83.24134809,0,522.7762487,0,221.1944401,212.7529588,1351.607449,590.6821076,2600.989483,
