Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Gas:HVAC [J](Monthly),Gas:Facility [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Gas:HVAC [J](RunPeriod),Gas:Facility [J](RunPeriod) 
January,11645891002.4098,10989815869.3032,7212066619.15517,656075133.106727,17006326939.7328,17006326939.7328 
February,10522717240.494,9926285301.30625,6514124688.26912,596431939.187938,11978165799.673,11978165799.673 
March,11677270049.0043,10989815869.3032,7212066619.15517,687454179.7012,9933853544.46962,9933853544.46962 
April,11233778465.2892,10635305679.9709,6979419308.85982,598472785.318437,6072632484.35357,6072632484.35357 
May,11739642357.8866,10989815869.3032,7212066619.15517,749826488.583447,4567038847.76125,4567038847.76125 
June,11452401422.7165,10635305679.9709,6979419308.85982,817095742.745696,3728316568.49944,3728316568.49944 
July,11673815184.6528,10989815869.3032,7212066619.15517,683999315.349612,2629443901.94974,2629443901.94974 
August,11873167157.591,10989815869.3032,7212066619.15517,883351288.287766,2323566784.37518,2323566784.37518 
September,11336488034.6848,10635305679.9709,6979419308.85982,701182354.714002,2415331352.67985,2415331352.67985 
October,11666662944.3095,10989815869.3032,7212066619.15517,676847075.006284,5065686575.30311,5065686575.30311 
November,11291380813.0775,10635305679.9709,6979419308.85982,656075133.106727,9635130262.32825,9635130262.32825 
December,11616069405.4504,10989815869.3032,7212066619.15517,626253536.147332,13879939134.278,13879939134.278,137729284077.606,129396219106.348,84916268257.7994,8333064971.25409,89235432195.404,89235432195.404 
