Time,MAIN_ZONE_A_B_G_L:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_A_B_G_L:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_A_B_G_L:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_A_B_G_L:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_B_C_H_G:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_B_C_H_G:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_B_C_H_G:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_B_C_H_G:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_C_D_I_H:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_C_D_I_H:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_C_D_I_H:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_C_D_I_H:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_D_E_J_I:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_D_E_J_I:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_D_E_J_I:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_D_E_J_I:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_E_F_K_J:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_E_F_K_J:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_E_F_K_J:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_E_F_K_J:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_L_K_F_A:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_L_K_F_A:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_L_K_F_A:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_L_K_F_A:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_G_H_I_L:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_G_H_I_L:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_G_H_I_L:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_G_H_I_L:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_I_J_K_L:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_I_J_K_L::Des Sens Cool Load [W],MAIN_ZONE_I_J_K_L:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_I_J_K_L::Des Cool Mass Flow [kg/s] 
00:15:00,4.283510E+03,0.000000E+00,1.555829E-01,0.000000E+00,1.214046E+03,0.000000E+00,4.409575E-02,0.000000E+00,3.219678E+03,0.000000E+00,1.169431E-01,0.000000E+00,1.454719E+03,0.000000E+00,5.283739E-02,0.000000E+00,1.291328E+03,0.000000E+00,4.690272E-02,0.000000E+00,2.310015E+03,0.000000E+00,8.390298E-02,0.000000E+00,2.698116E+03,0.000000E+00,9.800114E-02,0.000000E+00,1.370709E+03,0.000000E+00,4.978691E-02,0.000000E+00 
00:30:00,4.287218E+03,0.000000E+00,1.557175E-01,0.000000E+00,1.214950E+03,0.000000E+00,4.412858E-02,0.000000E+00,3.222457E+03,0.000000E+00,1.170440E-01,0.000000E+00,1.455977E+03,0.000000E+00,5.288305E-02,0.000000E+00,1.292222E+03,0.000000E+00,4.693517E-02,0.000000E+00,2.312229E+03,0.000000E+00,8.398335E-02,0.000000E+00,2.701867E+03,0.000000E+00,9.813716E-02,0.000000E+00,1.372625E+03,0.000000E+00,4.985639E-02,0.000000E+00 
00:45:00,4.290720E+03,0.000000E+00,1.558447E-01,0.000000E+00,1.215803E+03,0.000000E+00,4.415954E-02,0.000000E+00,3.225081E+03,0.000000E+00,1.171393E-01,0.000000E+00,1.457164E+03,0.000000E+00,5.292614E-02,0.000000E+00,1.293064E+03,0.000000E+00,4.696576E-02,0.000000E+00,2.314321E+03,0.000000E+00,8.405930E-02,0.000000E+00,2.705408E+03,0.000000E+00,9.826556E-02,0.000000E+00,1.374438E+03,0.000000E+00,4.992215E-02,0.000000E+00 
01:00:00,4.294030E+03,0.000000E+00,1.559649E-01,0.000000E+00,1.216608E+03,0.000000E+00,4.418877E-02,0.000000E+00,3.227562E+03,0.000000E+00,1.172293E-01,0.000000E+00,1.458285E+03,0.000000E+00,5.296686E-02,0.000000E+00,1.293859E+03,0.000000E+00,4.699462E-02,0.000000E+00,2.316299E+03,0.000000E+00,8.413110E-02,0.000000E+00,2.708753E+03,0.000000E+00,9.838690E-02,0.000000E+00,1.376156E+03,0.000000E+00,4.998446E-02,0.000000E+00 
01:15:00,4.297099E+03,0.000000E+00,1.560763E-01,0.000000E+00,1.217353E+03,0.000000E+00,4.421583E-02,0.000000E+00,3.229861E+03,0.000000E+00,1.173128E-01,0.000000E+00,1.459324E+03,0.000000E+00,5.300458E-02,0.000000E+00,1.294595E+03,0.000000E+00,4.702136E-02,0.000000E+00,2.318132E+03,0.000000E+00,8.419766E-02,0.000000E+00,2.711851E+03,0.000000E+00,9.849928E-02,0.000000E+00,1.377751E+03,0.000000E+00,5.004232E-02,0.000000E+00 
01:30:00,4.299932E+03,0.000000E+00,1.561791E-01,0.000000E+00,1.218040E+03,0.000000E+00,4.424079E-02,0.000000E+00,3.231983E+03,0.000000E+00,1.173898E-01,0.000000E+00,1.460282E+03,0.000000E+00,5.303937E-02,0.000000E+00,1.295274E+03,0.000000E+00,4.704601E-02,0.000000E+00,2.319825E+03,0.000000E+00,8.425912E-02,0.000000E+00,2.714707E+03,0.000000E+00,9.860286E-02,0.000000E+00,1.379225E+03,0.000000E+00,5.009579E-02,0.000000E+00 
01:45:00,4.302570E+03,0.000000E+00,1.562749E-01,0.000000E+00,1.218680E+03,0.000000E+00,4.426400E-02,0.000000E+00,3.233959E+03,0.000000E+00,1.174616E-01,0.000000E+00,1.461175E+03,0.000000E+00,5.307176E-02,0.000000E+00,1.295906E+03,0.000000E+00,4.706894E-02,0.000000E+00,2.321402E+03,0.000000E+00,8.431638E-02,0.000000E+00,2.717366E+03,0.000000E+00,9.869928E-02,0.000000E+00,1.380600E+03,0.000000E+00,5.014568E-02,0.000000E+00 
02:00:00,4.305036E+03,0.000000E+00,1.563645E-01,0.000000E+00,1.219277E+03,0.000000E+00,4.428568E-02,0.000000E+00,3.235807E+03,0.000000E+00,1.175287E-01,0.000000E+00,1.462008E+03,0.000000E+00,5.310203E-02,0.000000E+00,1.296495E+03,0.000000E+00,4.709035E-02,0.000000E+00,2.322876E+03,0.000000E+00,8.436991E-02,0.000000E+00,2.719849E+03,0.000000E+00,9.878936E-02,0.000000E+00,1.381888E+03,0.000000E+00,5.019239E-02,0.000000E+00 
02:15:00,4.307440E+03,0.000000E+00,1.564518E-01,0.000000E+00,1.219857E+03,0.000000E+00,4.430678E-02,0.000000E+00,3.237607E+03,0.000000E+00,1.175941E-01,0.000000E+00,1.462821E+03,0.000000E+00,5.313154E-02,0.000000E+00,1.297068E+03,0.000000E+00,4.711116E-02,0.000000E+00,2.324313E+03,0.000000E+00,8.442209E-02,0.000000E+00,2.722273E+03,0.000000E+00,9.887733E-02,0.000000E+00,1.383147E+03,0.000000E+00,5.023808E-02,0.000000E+00 
02:30:00,4.309769E+03,0.000000E+00,1.565364E-01,0.000000E+00,1.220420E+03,0.000000E+00,4.432719E-02,0.000000E+00,3.239353E+03,0.000000E+00,1.176575E-01,0.000000E+00,1.463608E+03,0.000000E+00,5.316014E-02,0.000000E+00,1.297622E+03,0.000000E+00,4.713130E-02,0.000000E+00,2.325706E+03,0.000000E+00,8.447266E-02,0.000000E+00,2.724629E+03,0.000000E+00,9.896278E-02,0.000000E+00,1.384373E+03,0.000000E+00,5.028256E-02,0.000000E+00 
