Time,FURNACE_DX_A_B_G_L:Des Heat Mass Flow [kg/s],FURNACE_DX_A_B_G_L:Des Cool Mass Flow [kg/s],FURNACE_DX_A_B_G_L:Des Heat Cap [W],FURNACE_DX_A_B_G_L:Des Sens Cool Cap [W],FURNACE_DX_B_C_H_G:Des Heat Mass Flow [kg/s],FURNACE_DX_B_C_H_G:Des Cool Mass Flow [kg/s],FURNACE_DX_B_C_H_G:Des Heat Cap [W],FURNACE_DX_B_C_H_G:Des Sens Cool Cap [W],FURNACE_DX_C_D_I_H:Des Heat Mass Flow [kg/s],FURNACE_DX_C_D_I_H:Des Cool Mass Flow [kg/s],FURNACE_DX_C_D_I_H:Des Heat Cap [W],FURNACE_DX_C_D_I_H:Des Sens Cool Cap [W],FURNACE_DX_D_E_J_I:Des Heat Mass Flow [kg/s],FURNACE_DX_D_E_J_I:Des Cool Mass Flow [kg/s],FURNACE_DX_D_E_J_I:Des Heat Cap [W],FURNACE_DX_D_E_J_I:Des Sens Cool Cap [W],FURNACE_DX_E_F_K_J:Des Heat Mass Flow [kg/s],FURNACE_DX_E_F_K_J:Des Cool Mass Flow [kg/s],FURNACE_DX_E_F_K_J:Des Heat Cap [W],FURNACE_DX_E_F_K_J:Des Sens Cool Cap [W],FURNACE_DX_L_K_F_A:Des Heat Mass Flow [kg/s],FURNACE_DX_L_K_F_A:Des Cool Mass Flow [kg/s],FURNACE_DX_L_K_F_A:Des Heat Cap [W],FURNACE_DX_L_K_F_A:Des Sens Cool Cap [W],FURNACE_DX_G_H_I_L:Des Heat Mass Flow [kg/s],FURNACE_DX_G_H_I_L:Des Cool Mass Flow [kg/s],FURNACE_DX_G_H_I_L:Des Heat Cap [W],FURNACE_DX_G_H_I_L:Des Sens Cool Cap [W],FURNACE_DX_I_J_K_L:Des Heat Mass Flow [kg/s],FURNACE_DX_I_J_K_L:Des Cool Mass Flow [kg/s],FURNACE_DX_I_J_K_L:Des Heat Cap [W],FURNACE_DX_I_J_K_L:Des Sens Cool Cap [W] 
00:15:00,1.867325E-01,9.888403E-02,9.070644E+03,8.511063E+02,5.252648E-02,2.386858E-02,2.391678E+03,2.054396E+02,1.414668E-01,7.501551E-02,6.875960E+03,6.456672E+02,6.293525E-02,3.409796E-02,3.088326E+03,2.934851E+02,5.692545E-02,2.386853E-02,2.511025E+03,2.054392E+02,1.006067E-01,5.796650E-02,5.076970E+03,4.989244E+02,1.179254E-01,1.091134E-01,7.618083E+03,9.391518E+02,5.960025E-02,5.455672E-02,3.826340E+03,4.695761E+02 
00:30:00,1.868937E-01,9.888403E-02,9.075017E+03,8.351583E+02,5.256600E-02,2.386858E-02,2.392750E+03,2.015901E+02,1.415877E-01,7.501551E-02,6.879243E+03,6.335688E+02,6.299019E-02,3.409796E-02,3.089817E+03,2.879858E+02,5.696435E-02,2.386853E-02,2.512080E+03,2.015897E+02,1.007032E-01,5.796650E-02,5.079588E+03,4.895756E+02,1.180884E-01,1.091134E-01,7.622506E+03,9.215540E+02,5.968371E-02,5.455672E-02,3.828605E+03,4.607772E+02 
00:45:00,1.870458E-01,9.888403E-02,9.079146E+03,8.192103E+02,5.260330E-02,2.386858E-02,2.393763E+03,1.977406E+02,1.417020E-01,7.501551E-02,6.882343E+03,6.214703E+02,6.304207E-02,3.409796E-02,3.091225E+03,2.824865E+02,5.700102E-02,2.386853E-02,2.513075E+03,1.977402E+02,1.007944E-01,5.796650E-02,5.082061E+03,4.802268E+02,1.182422E-01,1.091134E-01,7.626681E+03,9.039562E+02,5.976271E-02,5.455672E-02,3.830748E+03,4.519783E+02 
01:00:00,1.871896E-01,9.888403E-02,9.083047E+03,8.032623E+02,5.263852E-02,2.386858E-02,2.394718E+03,1.938911E+02,1.418099E-01,7.501551E-02,6.885272E+03,6.093718E+02,6.309109E-02,3.409796E-02,3.092555E+03,2.769872E+02,5.703562E-02,2.386853E-02,2.514014E+03,1.938907E+02,1.008806E-01,5.796650E-02,5.084400E+03,4.708780E+02,1.183876E-01,1.091134E-01,7.630625E+03,8.863584E+02,5.983758E-02,5.455672E-02,3.832780E+03,4.431794E+02 
01:15:00,1.873228E-01,9.888403E-02,9.086663E+03,7.926303E+02,5.267116E-02,2.386858E-02,2.395604E+03,1.913247E+02,1.419100E-01,7.501551E-02,6.887988E+03,6.013061E+02,6.313652E-02,3.409796E-02,3.093788E+03,2.733210E+02,5.706766E-02,2.386853E-02,2.514884E+03,1.913243E+02,1.009605E-01,5.796650E-02,5.086569E+03,4.646454E+02,1.185222E-01,1.091134E-01,7.634278E+03,8.746266E+02,5.990711E-02,5.455672E-02,3.834666E+03,4.373134E+02 
01:30:00,1.874457E-01,9.888403E-02,9.089998E+03,7.819983E+02,5.270126E-02,2.386858E-02,2.396421E+03,1.887584E+02,1.420023E-01,7.501551E-02,6.890493E+03,5.932405E+02,6.317845E-02,3.409796E-02,3.094926E+03,2.696548E+02,5.709720E-02,2.386853E-02,2.515685E+03,1.887580E+02,1.010343E-01,5.796650E-02,5.088571E+03,4.584129E+02,1.186463E-01,1.091134E-01,7.637645E+03,8.628947E+02,5.997137E-02,5.455672E-02,3.836410E+03,4.314475E+02 
01:45:00,1.875602E-01,9.888403E-02,9.093104E+03,7.713663E+02,5.272929E-02,2.386858E-02,2.397181E+03,1.861920E+02,1.420883E-01,7.501551E-02,6.892827E+03,5.851748E+02,6.321750E-02,3.409796E-02,3.095985E+03,2.659886E+02,5.712467E-02,2.386853E-02,2.516431E+03,1.861916E+02,1.011030E-01,5.796650E-02,5.090437E+03,4.521803E+02,1.187618E-01,1.091134E-01,7.640778E+03,8.511629E+02,6.003133E-02,5.455672E-02,3.838037E+03,4.255816E+02 
02:00:00,1.876672E-01,9.888403E-02,9.096007E+03,7.607343E+02,5.275546E-02,2.386858E-02,2.397891E+03,1.836257E+02,1.421687E-01,7.501551E-02,6.895007E+03,5.771092E+02,6.325400E-02,3.409796E-02,3.096975E+03,2.623223E+02,5.715032E-02,2.386853E-02,2.517126E+03,1.836253E+02,1.011673E-01,5.796650E-02,5.092182E+03,4.459478E+02,1.188696E-01,1.091134E-01,7.643704E+03,8.394310E+02,6.008748E-02,5.455672E-02,3.839560E+03,4.197156E+02 
02:15:00,1.877715E-01,9.888403E-02,9.098836E+03,7.527604E+02,5.278093E-02,2.386858E-02,2.398582E+03,1.817009E+02,1.422470E-01,7.501551E-02,6.897133E+03,5.710599E+02,6.328957E-02,3.409796E-02,3.097941E+03,2.595727E+02,5.717525E-02,2.386853E-02,2.517803E+03,1.817005E+02,1.012300E-01,5.796650E-02,5.093882E+03,4.412733E+02,1.189750E-01,1.091134E-01,7.646562E+03,8.306321E+02,6.014240E-02,5.455672E-02,3.841051E+03,4.153162E+02 
02:30:00,1.878725E-01,9.888403E-02,9.101578E+03,7.447864E+02,5.280558E-02,2.386858E-02,2.399251E+03,1.797762E+02,1.423229E-01,7.501551E-02,6.899193E+03,5.650107E+02,6.332405E-02,3.409796E-02,3.098876E+03,2.568230E+02,5.719936E-02,2.386853E-02,2.518457E+03,1.797758E+02,1.012907E-01,5.796650E-02,5.095530E+03,4.365989E+02,1.190773E-01,1.091134E-01,7.649338E+03,8.218332E+02,6.019587E-02,5.455672E-02,3.842501E+03,4.109167E+02 
