Time,MAIN_ZONE_A_B_G_L:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_A_B_G_L:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_A_B_G_L:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_A_B_G_L:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_B_C_H_G:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_B_C_H_G:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_B_C_H_G:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_B_C_H_G:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_C_D_I_H:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_C_D_I_H:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_C_D_I_H:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_C_D_I_H:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_D_E_J_I:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_D_E_J_I:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_D_E_J_I:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_D_E_J_I:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_E_F_K_J:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_E_F_K_J:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_E_F_K_J:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_E_F_K_J:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_L_K_F_A:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_L_K_F_A:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_L_K_F_A:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_L_K_F_A:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_G_H_I_L:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_G_H_I_L:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_G_H_I_L:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_G_H_I_L:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],MAIN_ZONE_I_J_K_L:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],MAIN_ZONE_I_J_K_L:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],MAIN_ZONE_I_J_K_L:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],MAIN_ZONE_I_J_K_L:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s] 
00:15:00,4.284267E+03,0.000000E+00,1.556104E-01,0.000000E+00,1.205134E+03,0.000000E+00,4.377207E-02,0.000000E+00,3.245720E+03,0.000000E+00,1.178890E-01,0.000000E+00,1.443944E+03,0.000000E+00,5.244604E-02,0.000000E+00,1.306062E+03,0.000000E+00,4.743788E-02,0.000000E+00,2.308252E+03,0.000000E+00,8.383895E-02,0.000000E+00,2.705550E+03,0.000000E+00,9.827115E-02,0.000000E+00,1.367404E+03,0.000000E+00,4.966687E-02,0.000000E+00 
00:30:00,4.287966E+03,0.000000E+00,1.557447E-01,0.000000E+00,1.206042E+03,0.000000E+00,4.380500E-02,0.000000E+00,3.248497E+03,0.000000E+00,1.179898E-01,0.000000E+00,1.445206E+03,0.000000E+00,5.249183E-02,0.000000E+00,1.306955E+03,0.000000E+00,4.747029E-02,0.000000E+00,2.310466E+03,0.000000E+00,8.391934E-02,0.000000E+00,2.709296E+03,0.000000E+00,9.840698E-02,0.000000E+00,1.369322E+03,0.000000E+00,4.973642E-02,0.000000E+00 
00:45:00,4.291459E+03,0.000000E+00,1.558715E-01,0.000000E+00,1.206898E+03,0.000000E+00,4.383608E-02,0.000000E+00,3.251119E+03,0.000000E+00,1.180850E-01,0.000000E+00,1.446396E+03,0.000000E+00,5.253505E-02,0.000000E+00,1.307797E+03,0.000000E+00,4.750085E-02,0.000000E+00,2.312559E+03,0.000000E+00,8.399530E-02,0.000000E+00,2.712831E+03,0.000000E+00,9.853519E-02,0.000000E+00,1.371137E+03,0.000000E+00,4.980226E-02,0.000000E+00 
01:00:00,4.294759E+03,0.000000E+00,1.559913E-01,0.000000E+00,1.207706E+03,0.000000E+00,4.386543E-02,0.000000E+00,3.253597E+03,0.000000E+00,1.181749E-01,0.000000E+00,1.447522E+03,0.000000E+00,5.257591E-02,0.000000E+00,1.308591E+03,0.000000E+00,4.752968E-02,0.000000E+00,2.314538E+03,0.000000E+00,8.406713E-02,0.000000E+00,2.716172E+03,0.000000E+00,9.865634E-02,0.000000E+00,1.372857E+03,0.000000E+00,4.986465E-02,0.000000E+00 
01:15:00,4.297817E+03,0.000000E+00,1.561024E-01,0.000000E+00,1.208455E+03,0.000000E+00,4.389263E-02,0.000000E+00,3.255893E+03,0.000000E+00,1.182583E-01,0.000000E+00,1.448564E+03,0.000000E+00,5.261377E-02,0.000000E+00,1.309326E+03,0.000000E+00,4.755639E-02,0.000000E+00,2.316372E+03,0.000000E+00,8.413372E-02,0.000000E+00,2.719264E+03,0.000000E+00,9.876851E-02,0.000000E+00,1.374455E+03,0.000000E+00,4.992259E-02,0.000000E+00 
01:30:00,4.300638E+03,0.000000E+00,1.562048E-01,0.000000E+00,1.209146E+03,0.000000E+00,4.391772E-02,0.000000E+00,3.258012E+03,0.000000E+00,1.183353E-01,0.000000E+00,1.449527E+03,0.000000E+00,5.264871E-02,0.000000E+00,1.310004E+03,0.000000E+00,4.758100E-02,0.000000E+00,2.318066E+03,0.000000E+00,8.419522E-02,0.000000E+00,2.722115E+03,0.000000E+00,9.887191E-02,0.000000E+00,1.375931E+03,0.000000E+00,4.997614E-02,0.000000E+00 
01:45:00,4.303265E+03,0.000000E+00,1.563002E-01,0.000000E+00,1.209789E+03,0.000000E+00,4.394107E-02,0.000000E+00,3.259986E+03,0.000000E+00,1.184069E-01,0.000000E+00,1.450423E+03,0.000000E+00,5.268125E-02,0.000000E+00,1.310634E+03,0.000000E+00,4.760389E-02,0.000000E+00,2.319644E+03,0.000000E+00,8.425252E-02,0.000000E+00,2.724768E+03,0.000000E+00,9.896814E-02,0.000000E+00,1.377308E+03,0.000000E+00,5.002611E-02,0.000000E+00 
02:00:00,4.305720E+03,0.000000E+00,1.563893E-01,0.000000E+00,1.210389E+03,0.000000E+00,4.396288E-02,0.000000E+00,3.261830E+03,0.000000E+00,1.184739E-01,0.000000E+00,1.451260E+03,0.000000E+00,5.271167E-02,0.000000E+00,1.311222E+03,0.000000E+00,4.762526E-02,0.000000E+00,2.321119E+03,0.000000E+00,8.430609E-02,0.000000E+00,2.727246E+03,0.000000E+00,9.905802E-02,0.000000E+00,1.378598E+03,0.000000E+00,5.007290E-02,0.000000E+00 
02:15:00,4.308113E+03,0.000000E+00,1.564762E-01,0.000000E+00,1.210974E+03,0.000000E+00,4.398411E-02,0.000000E+00,3.263628E+03,0.000000E+00,1.185392E-01,0.000000E+00,1.452077E+03,0.000000E+00,5.274131E-02,0.000000E+00,1.311794E+03,0.000000E+00,4.764604E-02,0.000000E+00,2.322558E+03,0.000000E+00,8.435832E-02,0.000000E+00,2.729665E+03,0.000000E+00,9.914580E-02,0.000000E+00,1.379859E+03,0.000000E+00,5.011867E-02,0.000000E+00 
02:30:00,4.310432E+03,0.000000E+00,1.565604E-01,0.000000E+00,1.211539E+03,0.000000E+00,4.400465E-02,0.000000E+00,3.265370E+03,0.000000E+00,1.186024E-01,0.000000E+00,1.452868E+03,0.000000E+00,5.277004E-02,0.000000E+00,1.312348E+03,0.000000E+00,4.766614E-02,0.000000E+00,2.323952E+03,0.000000E+00,8.440894E-02,0.000000E+00,2.732015E+03,0.000000E+00,9.923105E-02,0.000000E+00,1.381087E+03,0.000000E+00,5.016323E-02,0.000000E+00 
02:45:00,4.312657E+03,0.000000E+00,1.566412E-01,0.000000E+00,1.212081E+03,0.000000E+00,4.402434E-02,0.000000E+00,3.267042E+03,0.000000E+00,1.186632E-01,0.000000E+00,1.453628E+03,0.000000E+00,5.279762E-02,0.000000E+00,1.312877E+03,0.000000E+00,4.768538E-02,0.000000E+00,2.325290E+03,0.000000E+00,8.445753E-02,0.000000E+00,2.734274E+03,0.000000E+00,9.931304E-02,0.000000E+00,1.382272E+03,0.000000E+00,5.020620E-02,0.000000E+00 
03:00:00,4.314786E+03,0.000000E+00,1.567186E-01,0.000000E+00,1.212599E+03,0.000000E+00,4.404315E-02,0.000000E+00,3.268643E+03,0.000000E+00,1.187213E-01,0.000000E+00,1.454355E+03,0.000000E+00,5.282403E-02,0.000000E+00,1.313383E+03,0.000000E+00,4.770375E-02,0.000000E+00,2.326571E+03,0.000000E+00,8.450405E-02,0.000000E+00,2.736442E+03,0.000000E+00,9.939171E-02,0.000000E+00,1.383411E+03,0.000000E+00,5.024756E-02,0.000000E+00 
03:15:00,4.316822E+03,0.000000E+00,1.567925E-01,0.000000E+00,1.213094E+03,0.000000E+00,4.406112E-02,0.000000E+00,3.270175E+03,0.000000E+00,1.187770E-01,0.000000E+00,1.455051E+03,0.000000E+00,5.284931E-02,0.000000E+00,1.313866E+03,0.000000E+00,4.772129E-02,0.000000E+00,2.327796E+03,0.000000E+00,8.454855E-02,0.000000E+00,2.738521E+03,0.000000E+00,9.946715E-02,0.000000E+00,1.384507E+03,0.000000E+00,5.028732E-02,0.000000E+00 
